Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00379083275351966,0.000681253771165603,0.174072338680899,0,0,0,16.2214568689342,0.0261974222295657,-8.37576150639611E-05,5.58258310948948E-05,0.0353835275035624,1.65657660780561E-06,0.047262867175042,0,0,0,0,0,0,package://hero_2_V1/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hero_2_V1/meshes/base_link.STL,,机体-1,base_link_coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf0_Link,0.0558055235198072,0.0153391062584961,0.0250885326474869,0,0,0,0.908676124948704,0.000561475738084014,-2.13429161372004E-05,2.49249229072331E-06,0.00162359192853941,-9.45725911055411E-07,0.00209479430435216,0,0,0,0,0,0,package://hero_2_V1/meshes/lf0_Link.STL,1,1,1,1,0,0,0,0,0,0,package://hero_2_V1/meshes/lf0_Link.STL,,右腿连杆装配-1/右腿大腿装配-V2-1/腿雄大腿-碳板-V2-1;右腿连杆装配-1/右腿大腿装配-V2-1/大腿被动链轮-铝合金-同步兵-1;右腿连杆装配-1/右腿大腿装配-V2-1/大腿链轮固定-铝合金-同步兵-1;右腿连杆装配-1/右腿大腿装配-V2-1/髋关节轴承压盖-铝合金-同步兵-1;右腿连杆装配-1/右腿大腿装配-V2-1/腿雄小腿连杆-铝合金-V2-1;右腿连杆装配-1/右腿大腿装配-V2-1/碗组轴承-标准件-1;右腿连杆装配-1/右腿大腿装配-V2-1/小腿被动链轮-铝合金-同步兵-1;右腿连杆装配-1/右腿大腿装配-V2-1/碗组轴承-标准件-2;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-1;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-3;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-4;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-5;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-6;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-7;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-8;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-9;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-10;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-11;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-12;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-13;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-14;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-15;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓沉头-标准件-1;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓沉头-标准件-2;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓沉头-标准件-3;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓沉头-标准件-4;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓沉头-标准件-5;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓沉头-标准件-6;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓沉头-标准件-7;右腿连杆装配-1/右腿大腿装配-V2-1/内六角螺栓沉头-标准件-8;右腿连杆装配-1/右腿大腿装配-V2-1/腿雄小腿连杆2-铝合金-V2-1;右腿连杆装配-1/右腿大腿装配-V2-1/内六角塞打螺栓杯头-标准件-1;右腿连杆装配-1/右腿大腿装配-V2-1/法兰轴承-标准件-1;右腿连杆装配-1/右腿大腿装配-V2-1/法兰轴承-标准件-2;右腿连杆装配-1/右腿大腿装配-V2-1/垫圈-标准件-1;右腿连杆装配-1/右腿大腿装配-V2-1/法兰轴承-标准件-3;右腿连杆装配-1/右腿大腿装配-V2-1/法兰轴承-标准件-4;右腿连杆装配-1/右腿大腿装配-V2-1/垫圈-标准件-2;右腿连杆装配-1/右腿大腿装配-V2-1/内六角塞打螺栓杯头-标准件-2;右腿连杆装配-1/右腿大腿装配-V2-1/腿雄大小腿连杆-碳板-V2-1;右腿连杆装配-1/右腿大腿装配-V2-1/六角螺母（防松）-标准件-1;右腿连杆装配-1/右腿大腿装配-V2-1/六角螺母（防松）-标准件-3;右腿连杆装配-1/右腿大腿装配-V2-1/六角螺母（防松）-标准件-4;右腿连杆装配-1/右腿大腿装配-V2-1/六角螺母（防松）-标准件-6;右腿连杆装配-1/右腿大腿装配-V2-1/深沟球轴承碗-铝合金-V1-2;右腿连杆装配-1/右腿大腿装配-V2-1/深沟球轴承-标准件-1;右腿连杆装配-1/右腿大腿装配-V2-1/深沟球轴承碗-铝合金-V1-3;右腿连杆装配-1/右腿大腿装配-V2-1/深沟球轴承-标准件-2;右腿连杆装配-1/右腿大腿装配-V2-1/垫圈-标准件-3;右腿连杆装配-1/右腿大腿装配-V2-1/内六角塞打螺栓杯头-标准件-3;右腿连杆装配-1/右腿大腿装配-V2-1/限位-铝合金-V2-1;右腿连杆装配-1/右腿大腿装配-V2-1/腿雄小腿连杆3-铝合金-V2-1;右腿连杆装配-1/右腿大腿装配-V2-1/法兰轴承-标准件-5;右腿连杆装配-1/右腿大腿装配-V2-1/法兰轴承-标准件-6;右腿连杆装配-1/右腿大腿装配-V2-1/垫圈-标准件-4;右腿连杆装配-1/右腿大腿装配-V2-1/内六角塞打螺栓杯头-标准件-4,lf0_coordinate,lf0_axis,lf0_Joint,revolute,0.0079617,0.171,0.12425,-1.5708,0,0,base_link,0,0,1,30,1000,-100,100,,,,,,,,
lf1_Link,0.000381028495258784,0.0614039303540892,0.0205759469960816,0,0,0,0.353573603162507,0.00209672637486405,6.62212418980484E-05,-1.1689601517057E-07,9.42833469068487E-05,-7.10388091608505E-06,0.00217365133220411,0,0,0,0,0,0,package://hero_2_V1/meshes/lf1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://hero_2_V1/meshes/lf1_Link.STL,,右腿连杆装配-1/右腿小腿装配-V2-1/腿雄小腿-碳板-V2-1;右腿连杆装配-1/右腿小腿装配-V2-1/碗组培林碗-标准件-1;右腿连杆装配-1/右腿小腿装配-V2-1/膝关节螺母-铝合金-V2-1;右腿连杆装配-1/右腿小腿装配-V2-1/膝关节底挡-铝合金-V1-1;右腿连杆装配-1/右腿小腿装配-V2-1/碗组轴承-标准件-1;右腿连杆装配-1/右腿小腿装配-V2-1/碗组培林碗-标准件-2;右腿连杆装配-1/右腿小腿装配-V2-1/膝关节培林垫圈-铝合金-V1-1;右腿连杆装配-1/右腿小腿装配-V2-1/膝关节螺丝-铝合金-V2-1;右腿连杆装配-1/右腿小腿装配-V2-1/碗组轴承-标准件-2;右腿连杆装配-1/右腿小腿装配-V2-1/垫圈-标准件-1;右腿连杆装配-1/右腿小腿装配-V2-1/法兰轴承-标准件-1;右腿连杆装配-1/右腿小腿装配-V2-1/法兰轴承-标准件-2;右腿连杆装配-1/右腿小腿装配-V2-1/内六角塞打螺栓杯头-标准件-1;右腿连杆装配-1/右腿小腿装配-V2-1/六角螺母（防松）-标准件-1;右腿连杆装配-1/右腿小腿装配-V2-1/C620电调-标准件-1,lf1_coordinate,lf1_axis,lf1_Joint,revolute,0.21,0,0.0165,0,0,0,lf0_Link,0,0,1,30,1000,-0.55868,1.1397,,,,,,,,
l_wheel_Link,-8.87209594568894E-06,0.000197521386022081,0.0122490899031724,0,0,0,0.48460446291958,0.000293766069911388,1.5314528986487E-07,-2.0187970480093E-08,0.000295923328856736,-5.74235077359702E-07,0.000562153783289961,0,0,0,0,0,0,package://hero_2_V1/meshes/l_wheel_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hero_2_V1/meshes/l_wheel_Link.STL,,16.33减速箱-1,l_wheel_coordinate,l_wheel_axis,l_wheel_Joint,revolute,0.00500001058515642,0.249947730172021,0.0424999995080837,0,0,0,lf1_Link,0,0,1,50,1500,0,0,,,,,,,,
rf0_Link,0.0557915330130521,-0.0153199575736803,0.0252261952488737,0,0,0,0.909152357849461,0.000561480386939347,2.13413728314108E-05,2.49249200545678E-06,0.00162359481864775,9.45725446251427E-07,0.00209479947395244,0,0,0,0,0,0,package://hero_2_V1/meshes/rf0_Link.STL,1,1,1,1,0,0,0,0,0,0,package://hero_2_V1/meshes/rf0_Link.STL,,左腿连杆装配-1/左腿大腿装配-V2-1/腿雄大腿-碳板-V2-1;左腿连杆装配-1/左腿大腿装配-V2-1/腿雄大小腿连杆-碳板-V2-1;左腿连杆装配-1/左腿大腿装配-V2-1/腿雄小腿连杆2-铝合金-V2-1;左腿连杆装配-1/左腿大腿装配-V2-1/腿雄小腿连杆-铝合金-V2-1;左腿连杆装配-1/左腿大腿装配-V2-1/限位-铝合金-V2-1;左腿连杆装配-1/左腿大腿装配-V2-1/深沟球轴承碗-铝合金-V1-1;左腿连杆装配-1/左腿大腿装配-V2-1/深沟球轴承碗-铝合金-V1-2;左腿连杆装配-1/左腿大腿装配-V2-1/深沟球轴承-标准件-1;左腿连杆装配-1/左腿大腿装配-V2-1/深沟球轴承-标准件-2;左腿连杆装配-1/左腿大腿装配-V2-1/内六角塞打螺栓杯头-标准件-1;左腿连杆装配-1/左腿大腿装配-V2-1/垫圈-标准件-2;左腿连杆装配-1/左腿大腿装配-V2-1/六角螺母（防松）-标准件-1;左腿连杆装配-1/左腿大腿装配-V2-1/法兰轴承-标准件-1;左腿连杆装配-1/左腿大腿装配-V2-1/法兰轴承-标准件-2;左腿连杆装配-1/左腿大腿装配-V2-1/垫圈-标准件-3;左腿连杆装配-1/左腿大腿装配-V2-1/内六角塞打螺栓杯头-标准件-2;左腿连杆装配-1/左腿大腿装配-V2-1/六角螺母（防松）-标准件-2;左腿连杆装配-1/左腿大腿装配-V2-1/腿雄小腿连杆3-铝合金-V2-2;左腿连杆装配-1/左腿大腿装配-V2-1/法兰轴承-标准件-5;左腿连杆装配-1/左腿大腿装配-V2-1/法兰轴承-标准件-6;左腿连杆装配-1/左腿大腿装配-V2-1/法兰轴承-标准件-7;左腿连杆装配-1/左腿大腿装配-V2-1/法兰轴承-标准件-8;左腿连杆装配-1/左腿大腿装配-V2-1/内六角塞打螺栓杯头-标准件-4;左腿连杆装配-1/左腿大腿装配-V2-1/内六角塞打螺栓杯头-标准件-5;左腿连杆装配-1/左腿大腿装配-V2-1/垫圈-标准件-5;左腿连杆装配-1/左腿大腿装配-V2-1/垫圈-标准件-6;左腿连杆装配-1/左腿大腿装配-V2-1/六角螺母（防松）-标准件-4;左腿连杆装配-1/左腿大腿装配-V2-1/六角螺母（防松）-标准件-5;左腿连杆装配-1/左腿大腿装配-V2-1/大腿被动链轮-铝合金-同步兵-1;左腿连杆装配-1/左腿大腿装配-V2-1/大腿链轮固定-铝合金-同步兵-1;左腿连杆装配-1/左腿大腿装配-V2-1/滑环固定件-铝合金-V1-1;左腿连杆装配-1/左腿大腿装配-V2-1/小腿被动链轮-铝合金-同步兵-1;左腿连杆装配-1/左腿大腿装配-V2-1/髋关节轴承压盖-铝合金-同步兵-1;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-5;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-6;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-7;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-8;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-9;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-10;左腿连杆装配-1/左腿大腿装配-V2-1/碗组轴承-标准件-3;左腿连杆装配-1/左腿大腿装配-V2-1/碗组轴承-标准件-4;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-11;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-12;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-13;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-14;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-15;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-16;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-17;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓小杯头-标准件V2-18;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓沉头-标准件-1;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓沉头-标准件-3;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓沉头-标准件-4;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓沉头-标准件-5;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓沉头-标准件-6;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓沉头-标准件-7;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓沉头-标准件-8;左腿连杆装配-1/左腿大腿装配-V2-1/内六角螺栓沉头-标准件-9,rf0_coordinate,rf0_axis,rf0_Joint,revolute,0.00796170261298679,-0.171000000000018,0.12425,1.5707963267949,0,0,base_link,0,0,1,30,1000,-100,100,,,,,,,,
rf1_Link,0.000382076980401491,-0.0614039303600726,0.020542802905875,0,0,0,0.353573603162507,0.00209672598461867,-6.62105950672531E-05,-1.17022263218578E-07,9.42837371522281E-05,7.1038809220668E-06,0.00217365133220411,0,0,0,0,0,0,package://hero_2_V1/meshes/rf1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://hero_2_V1/meshes/rf1_Link.STL,,左腿连杆装配-1/左腿小腿装配-V2-1/腿雄小腿-碳板-V2-1;左腿连杆装配-1/左腿小腿装配-V2-1/法兰轴承-标准件-1;左腿连杆装配-1/左腿小腿装配-V2-1/法兰轴承-标准件-2;左腿连杆装配-1/左腿小腿装配-V2-1/垫圈-标准件-1;左腿连杆装配-1/左腿小腿装配-V2-1/内六角塞打螺栓杯头-标准件-1;左腿连杆装配-1/左腿小腿装配-V2-1/六角螺母（防松）-标准件-1;左腿连杆装配-1/左腿小腿装配-V2-1/碗组培林碗-标准件-1;左腿连杆装配-1/左腿小腿装配-V2-1/碗组培林碗-标准件-2;左腿连杆装配-1/左腿小腿装配-V2-1/碗组轴承-标准件-1;左腿连杆装配-1/左腿小腿装配-V2-1/碗组轴承-标准件-2;左腿连杆装配-1/左腿小腿装配-V2-1/膝关节培林垫圈-铝合金-V1-1;左腿连杆装配-1/左腿小腿装配-V2-1/膝关节底挡-铝合金-V1-1;左腿连杆装配-1/左腿小腿装配-V2-1/膝关节螺母-铝合金-V2-1;左腿连杆装配-1/左腿小腿装配-V2-1/膝关节螺丝-铝合金-V2-1;左腿连杆装配-1/左腿小腿装配-V2-1/C620电调-标准件-1,rf1_coordinate,rf1_axis,rf1_Joint,revolute,0.21,0,0.0167,0,0,0,rf0_Link,0,0,1,30,1000,-1.1397,0.55868,,,,,,,,
r_wheel_Link,0.000133395181016072,0.000145942225137696,0.0122490899031684,0,0,0,0.48460446291706,0.000294691554066568,-1.07862946869998E-06,-4.20320561469096E-07,0.00029499784470157,-3.91770470145716E-07,0.000562153783289979,0,0,0,0,0,0,package://hero_2_V1/meshes/r_wheel_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hero_2_V1/meshes/r_wheel_Link.STL,,16.33减速箱-3,r_wheel_coordinate,r_wheel_axis,r_wheel_Joint,revolute,0.00499999999998946,-0.249947737069665,0.042499999999986,0,0,0,rf1_Link,0,0,1,50,1500,0,0,,,,,,,,
