Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00605390535249737,-0.00159616546418934,0.140517156798375,0,0,0,19.1990829540243,0.0529349242185212,-8.03888423617516E-05,0.000218804160203313,0.0487577343328252,-4.20667692982123E-05,0.0832926622810242,0,0,0,0,0,0,package://hero_V1/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hero_V1/meshes/base_link.STL,,车架装配体-V1-1;拨弹盘装配体-V1-1;yaw轴系装配体-V1-1;弹舱装配体-V1-1;装甲板座装配体-V1-1;装甲板座装配体-V1-2;镜像腿装配体-V1-1/镜像dm8009p-1;镜像腿装配体-V1-1/镜像dm8009p-2;镜像腿装配体-V1-1/镜像大腿主动链轮-铝合金-V1-1;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-22;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-21;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-5;镜像腿装配体-V1-1/镜像髋关节固定-复合-V1-1;镜像腿装配体-V1-1/镜像垫圈-标准件-13;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-6;镜像腿装配体-V1-1/镜像垫圈-标准件-14;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-7;镜像腿装配体-V1-1/镜像垫圈-标准件-15;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-23;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-8;镜像腿装配体-V1-1/镜像垫圈-标准件-16;镜像腿装配体-V1-1/镜像垫圈-标准件-12;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-4;镜像腿装配体-V1-1/镜像垫圈-标准件-17;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-9;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-20;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-19;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-11;镜像腿装配体-V1-1/镜像垫圈-标准件-11;镜像腿装配体-V1-1/镜像小腿主动链轮-铝合金-V1-1;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-10;镜像腿装配体-V1-1/镜像垫圈-标准件-10;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-18;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-15;镜像腿装配体-V1-1/镜像垫圈-标准件-9;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-14;镜像腿装配体-V1-1/镜像垫圈-标准件-8;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-13;镜像腿装配体-V1-1/镜像垫圈-标准件-6;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-16;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-17;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-12;镜像腿装配体-V1-1/镜像垫圈-标准件-7;镜像腿装配体-V1-1/镜像髋关节轴承压紧盖外-铝合金-V1-1;腿装配体-V1-1/dm8009p-2;腿装配体-V1-1/髋关节固定-复合-V1-1;腿装配体-V1-1/内六角螺栓杯头-标准件-21;腿装配体-V1-1/内六角螺栓杯头-标准件-6;腿装配体-V1-1/垫圈-标准件-14;腿装配体-V1-1/大腿主动链轮-铝合金-V1-1;腿装配体-V1-1/内六角螺栓杯头-标准件-7;腿装配体-V1-1/垫圈-标准件-15;腿装配体-V1-1/内六角螺栓杯头-标准件-23;腿装配体-V1-1/垫圈-标准件-16;腿装配体-V1-1/内六角螺栓杯头-标准件-8;腿装配体-V1-1/垫圈-标准件-13;腿装配体-V1-1/内六角螺栓杯头-标准件-5;腿装配体-V1-1/内六角螺栓杯头-标准件-22;腿装配体-V1-1/垫圈-标准件-12;腿装配体-V1-1/内六角螺栓杯头-标准件-4;腿装配体-V1-1/内六角螺栓杯头-标准件-9;腿装配体-V1-1/垫圈-标准件-17;腿装配体-V1-1/内六角螺栓杯头-标准件-20;腿装配体-V1-1/髋关节轴承压紧盖外-铝合金-V1-1;腿装配体-V1-1/dm8009p-1;腿装配体-V1-1/垫圈-标准件-6;腿装配体-V1-1/内六角螺栓杯头-标准件-13;腿装配体-V1-1/小腿主动链轮-铝合金-V1-1;腿装配体-V1-1/内六角螺栓杯头-标准件-14;腿装配体-V1-1/垫圈-标准件-8;腿装配体-V1-1/内六角螺栓杯头-标准件-16;腿装配体-V1-1/垫圈-标准件-9;腿装配体-V1-1/内六角螺栓杯头-标准件-15;腿装配体-V1-1/内六角螺栓杯头-标准件-17;腿装配体-V1-1/垫圈-标准件-7;腿装配体-V1-1/内六角螺栓杯头-标准件-12;腿装配体-V1-1/垫圈-标准件-11;腿装配体-V1-1/内六角螺栓杯头-标准件-11;腿装配体-V1-1/内六角螺栓杯头-标准件-19;腿装配体-V1-1/内六角螺栓杯头-标准件-18;腿装配体-V1-1/内六角螺栓杯头-标准件-10;腿装配体-V1-1/垫圈-标准件-10;腿装配体-V1-1/装甲板固定轴-铝合金-V1-1;腿装配体-V1-1/滑环改侧面出线-V1-1/中空滑环(42-20-6线)-标准件-1;镜像腿装配体-V1-1/镜像滑环改侧面出线-V1-1/镜像中空滑环(42-20-6线)-标准件-1;镜像腿装配体-V1-1/镜像装甲板固定轴-铝合金-V1-1;双摩擦弧面云台-V2-1,base_link_coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rf0_link,0.0702297968191645,-0.0187949806087438,0.0407539024385996,0,0,0,0.980628641475946,0.00062263114761198,3.23505796399031E-05,5.41723161477609E-07,0.00171304544052213,7.12654177763112E-07,0.00225002740328588,0,0,0,0,0,0,package://hero_V1/meshes/rf0_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hero_V1/meshes/rf0_link.STL,,腿装配体-V1-1/六角螺母（防松）-标准件-5;腿装配体-V1-1/内六角塞打螺栓杯头-标准件-5;腿装配体-V1-1/六角螺母（防松）-标准件-4;腿装配体-V1-1/六角螺母（防松）-标准件-3;腿装配体-V1-1/六角螺母（防松）-标准件-2;腿装配体-V1-1/内六角塞打螺栓杯头-标准件-4;腿装配体-V1-1/内六角塞打螺栓杯头-标准件-3;腿装配体-V1-1/内六角塞打螺栓杯头-标准件-1;腿装配体-V1-1/内六角螺栓杯头-标准件-3;腿装配体-V1-1/内六角螺栓杯头-标准件-2;腿装配体-V1-1/内六角螺栓杯头-标准件-1;腿装配体-V1-1/滑环固定件-铝合金-V1-2;腿装配体-V1-1/交叉滚子轴承-标准件-1;腿装配体-V1-1/髋关节轴承压盖-铝合金-V1-1;腿装配体-V1-1/小腿被动链轮轴-铝合金-V1-1;腿装配体-V1-1/小腿被动链轮齿-铝合金-V1-1;腿装配体-V1-1/碗组轴承-标准件-1;腿装配体-V1-1/腿雄微调大腿链轮固定-铝合金-V1-1;腿装配体-V1-1/大腿被动链轮-铝合金-V2-1;腿装配体-V1-1/碗组轴承-标准件-3;腿装配体-V1-1/腿雄大腿-碳板-V1-1;腿装配体-V1-1/腿雄小腿连杆-铝合金-V1-1;腿装配体-V1-1/腿雄小腿连杆2-铝合金-V1-1;腿装配体-V1-1/法兰轴承-标准件-1;腿装配体-V1-1/法兰轴承-标准件-2;腿装配体-V1-1/垫圈-标准件-1;腿装配体-V1-1/法兰轴承-标准件-3;腿装配体-V1-1/法兰轴承-标准件-4;腿装配体-V1-1/垫圈-标准件-2;腿装配体-V1-1/腿雄大小腿连杆-碳板(9mm)-V1-1;腿装配体-V1-1/垫圈-标准件-3;腿装配体-V1-1/腿雄小腿连杆3-铝合金-V1-2;腿装配体-V1-1/法兰轴承-标准件-5;腿装配体-V1-1/法兰轴承-标准件-6;腿装配体-V1-1/法兰轴承-标准件-7;腿装配体-V1-1/碗组培林碗-标准件-1;腿装配体-V1-1/法兰轴承-标准件-8;腿装配体-V1-1/碗组培林碗-标准件-2;腿装配体-V1-1/膝关节螺丝-铝合金-V1-1;腿装配体-V1-1/膝关节底挡-铝合金-V1-1;腿装配体-V1-1/膝关节培林垫圈-铝合金-V1-1;腿装配体-V1-1/碗组轴承-标准件-4;腿装配体-V1-1/碗组轴承-标准件-5;腿装配体-V1-1/垫圈-标准件-4;腿装配体-V1-1/深沟球轴承碗-铝合金-V1-1;腿装配体-V1-1/深沟球轴承碗-铝合金-V1-2;腿装配体-V1-1/深沟球轴承-标准件-1;腿装配体-V1-1/深沟球轴承-标准件-2;腿装配体-V1-1/垫圈-标准件-5;腿装配体-V1-1/会到处乱跑的限位-1;腿装配体-V1-1/滑环改侧面出线-V1-1/髋关节滑环挡片改-铝合金-V1-1,rf0_coordinate,rf0_axis,rf0_Joint,revolute,0,-0.1972,0.12425,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
rf1_link,-0.00224751812370519,-0.100201570860256,-0.0110909854589818,0,0,0,0.340517162490244,0.00296635116049259,-6.84190715871387E-05,-1.86764620560049E-07,8.84382603578509E-05,1.03590692316229E-05,0.00303570790840809,0,0,0,0,0,0,package://hero_V1/meshes/rf1_link.STL,1,1,1,1,0,0,0,0,0,0,package://hero_V1/meshes/rf1_link.STL,,腿装配体-V1-1/腿雄小腿-碳板(15mm)-V1-1;腿装配体-V1-1/膝关节螺母-铝合金-V1-2个-1;腿装配体-V1-1/内六角塞打螺栓杯头-标准件-2;腿装配体-V1-1/六角螺母（防松）-标准件-1;腿装配体-V1-1/C620电调（无线）-标准件-1,rf1_coordinate,rf1_axis,rf1_Joint,revolute,0.22496,0,0.0689,0,0,0,rf0_link,0,0,1,0,0,0,0,,,,,,,,
r_wheel_link,1.62633266568013E-05,-0.000124117586762035,0.0346090745027452,0,0,0,0.258243481510697,0.000241241884970642,3.38437580239193E-08,-9.47926461575188E-09,0.000242019680369305,2.41482145734141E-07,0.000443553768192411,0,0,0,0,0,0,package://hero_V1/meshes/r_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hero_V1/meshes/r_wheel_link.STL,,腿装配体-V1-1/轮毂120-铝合金-V1-1;腿装配体-V1-1/M3508电机（Hexroll减速箱268：17）-标准件-1,r_wheel_coordinate,r_wheel_axis,r_wheel_Joint,revolute,0,-0.26781,-0.0223,0,0,0,rf1_link,0,0,1,0,0,0,0,,,,,,,,
lf0_link,0.0704031695259375,0.0189152998381479,0.0406652469389528,0,0,0,0.983574241299098,0.0006227126314508,-3.23517054128749E-05,5.41721933385832E-07,0.00171312692453791,-7.12654215373887E-07,0.00225004254205336,0,0,0,0,0,0,package://hero_V1/meshes/lf0_link.STL,0.941176470588235,0.941176470588235,0.941176470588235,1,0,0,0,0,0,0,package://hero_V1/meshes/lf0_link.STL,,镜像腿装配体-V1-1/镜像交叉滚子轴承-标准件-1;镜像腿装配体-V1-1/镜像髋关节轴承压盖-铝合金-V1-1;镜像腿装配体-V1-1/镜像小腿被动链轮轴-铝合金-V1-1;镜像腿装配体-V1-1/镜像小腿被动链轮齿-铝合金-V1-1;镜像腿装配体-V1-1/镜像碗组轴承-标准件-1;镜像腿装配体-V1-1/镜像腿雄微调大腿链轮固定-铝合金-V1-1;镜像腿装配体-V1-1/镜像大腿被动链轮-铝合金-V2-1;镜像腿装配体-V1-1/镜像碗组轴承-标准件-3;镜像腿装配体-V1-1/镜像腿雄大腿-碳板-V1-1;镜像腿装配体-V1-1/镜像腿雄小腿连杆-铝合金-V1-1;镜像腿装配体-V1-1/镜像腿雄小腿连杆2-铝合金-V1-1;镜像腿装配体-V1-1/镜像法兰轴承-标准件-2;镜像腿装配体-V1-1/镜像垫圈-标准件-1;镜像腿装配体-V1-1/镜像垫圈-标准件-2;镜像腿装配体-V1-1/镜像腿雄大小腿连杆-碳板(9mm)-V1-1;镜像腿装配体-V1-1/镜像垫圈-标准件-3;镜像腿装配体-V1-1/镜像腿雄小腿连杆3-铝合金-V1-2;镜像腿装配体-V1-1/镜像法兰轴承-标准件-5;镜像腿装配体-V1-1/镜像法兰轴承-标准件-6;镜像腿装配体-V1-1/镜像法兰轴承-标准件-7;镜像腿装配体-V1-1/镜像法兰轴承-标准件-8;镜像腿装配体-V1-1/镜像碗组培林碗-标准件-1;镜像腿装配体-V1-1/镜像碗组培林碗-标准件-2;镜像腿装配体-V1-1/镜像膝关节螺丝-铝合金-V1-1;镜像腿装配体-V1-1/镜像膝关节底挡-铝合金-V1-1;镜像腿装配体-V1-1/镜像膝关节培林垫圈-铝合金-V1-1;镜像腿装配体-V1-1/镜像碗组轴承-标准件-4;镜像腿装配体-V1-1/镜像碗组轴承-标准件-5;镜像腿装配体-V1-1/镜像垫圈-标准件-4;镜像腿装配体-V1-1/镜像深沟球轴承碗-铝合金-V1-1;镜像腿装配体-V1-1/镜像深沟球轴承碗-铝合金-V1-2;镜像腿装配体-V1-1/镜像深沟球轴承-标准件-1;镜像腿装配体-V1-1/镜像深沟球轴承-标准件-2;镜像腿装配体-V1-1/镜像垫圈-标准件-5;镜像腿装配体-V1-1/镜像会到处乱跑的限位-1;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-3;镜像腿装配体-V1-1/镜像垫圈-标准件-15;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-7;镜像腿装配体-V1-1/镜像内六角塞打螺栓杯头-标准件-2;镜像腿装配体-V1-1/镜像内六角塞打螺栓杯头-标准件-3;镜像腿装配体-V1-1/镜像六角螺母（防松）-标准件-1;镜像腿装配体-V1-1/镜像内六角塞打螺栓杯头-标准件-4;镜像腿装配体-V1-1/镜像六角螺母（防松）-标准件-3;镜像腿装配体-V1-1/镜像六角螺母（防松）-标准件-4;镜像腿装配体-V1-1/镜像内六角塞打螺栓杯头-标准件-5;镜像腿装配体-V1-1/镜像六角螺母（防松）-标准件-5;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-24;镜像腿装配体-V1-1/镜像内六角螺栓杯头-标准件-25;镜像腿装配体-V1-1/镜像法兰轴承-标准件-9;镜像腿装配体-V1-1/镜像法兰轴承-标准件-10;镜像腿装配体-V1-1/镜像法兰轴承-标准件-11;镜像腿装配体-V1-1/镜像滑环固定件-铝合金-V1-2;镜像腿装配体-V1-1/镜像滑环改侧面出线-V1-1/镜像髋关节滑环挡片改-铝合金-V1-1,lf0_coordinate,lf0_axis,lf0_Joint,revolute,0,0.1972,0.12425,-1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
lf1_link,-0.00224876777050639,0.100201570860255,-0.0110960124852865,0,0,0,0.340517162490243,0.00296635116049272,6.84303663682976E-05,-1.86638302535078E-07,8.84382603577179E-05,-1.03590692316277E-05,0.00303570790840808,0,0,0,0,0,0,package://hero_V1/meshes/lf1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hero_V1/meshes/lf1_link.STL,,镜像腿装配体-V1-1/镜像膝关节螺母-铝合金-V1-2个-1;镜像腿装配体-V1-1/镜像腿雄小腿-碳板(15mm)-V1-1;镜像腿装配体-V1-1/镜像内六角塞打螺栓杯头-标准件-1;镜像腿装配体-V1-1/镜像六角螺母（防松）-标准件-2;镜像腿装配体-V1-1/镜像C620电调（无线）-标准件-1,lf1_coordinate,lf1_axis,lf1_Joint,revolute,0.22496,0,0.069,0,0,0,lf0_link,0,0,1,0,0,0,0,,,,,,,,
l_wheel_link,-1.6263326612892E-05,0.000124117586788486,0.0346090745027595,0,0,0,0.258243481510664,0.000241241884918798,3.3843735954557E-08,9.47926184809021E-09,0.000242019680347693,-2.41482151165648E-07,0.000443553768128625,0,0,0,0,0,0,package://hero_V1/meshes/l_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://hero_V1/meshes/l_wheel_link.STL,,镜像腿装配体-V1-1/镜像M3508电机（Hexroll减速箱268：17）-标准件-1;镜像腿装配体-V1-1/镜像轮毂120-铝合金-V1-1,l_wheel_coordinate,l_wheel_axis,l_wheel_Joint,continuous,0,0.26781,-0.0223,0,0,0,lf1_link,0,0,1,0,0,0,0,,,,,,,,
